"domain","process","subprocess","model_coupled","parameter","default","unit","value","note"
"sediment","decomposition","mineralisation_dom","GOTM-WET","kNMinDOMS","0.003","1/d","","mineralization constant of DOM-N at 20*C"
"sediment","decomposition","mineralisation_pom","GOTM-WET","kNMinPOMS","0.002","1/d","","decomposition constant of POM-N at 20*C"
"sediment","denitrification","denitrification","GOTM-WET","hNO3DenitS","0.5","mgN/l","","quadratic half-sat. NO3 conc. for denitrification"
"sediment","denitrification","denitrification","GOTM-WET","NO3PerCS","1","mol/mol","","NO3 denitrified per C mineralized"
"sediment","denitrification","refractory_fractions","GOTM-Selmaprotbas","fds","0.7","-","","fraction of sediment remineralization fueled by denitrification"
"sediment","denitrification","refractory_fractions","GOTM-WET","fRefrPOMS","0.1","-","","refractory fraction of sediment POM"
"sediment","initial_conditions","initial_ammonium","GOTM-WET","sNH4S",NA,"g/m2","","ammonium"
"sediment","initial_conditions","initial_dom","GOTM-WET","sNDOMS",NA,"g/m2","","dissolved organic N"
"sediment","initial_conditions","initial_humus","GOTM-WET","sNHumS",NA,"g/m2","","humus N"
"sediment","initial_conditions","initial_nitrate","GOTM-WET","sNO3S",NA,"g/m2","","nitrate"
"sediment","initial_conditions","initial_nitrogen","GOTM-Selmaprotbas","fl_n","none","mmol N m-2","","initial nitrogen fluff (= active sediment)"
"sediment","initial_conditions","initial_pom","GOTM-WET","sNPOMS",NA,"g/m2","","particulate organic N"
"sediment","nitrification","nitrification","GOTM-WET","cThetaNitrS","1.03","1/e^*C","","temperature coefficient for nitrification"
"sediment","nitrification","nitrification","GOTM-WET","kNitrS","1.2","1/d","","nitrification rate constant at 20*C"
"sediment","nitrification","nitrification","GOTM-WET","O2PerNH4S","2","mol/mol","","O2 used per NH4 nitrified"
"sediment","sediment_ground_exchange","groundwater_exchange","GOTM-WET","cNO3Ground","0.1","mgN/l","","NO3 concentration in groundwater"
"sediment","sediment_ground_exchange","groundwater_exchange","GOTM-WET","cNH4Ground","1","mgN/l","","NH4 concentration in groundwater"
"sediment","water_sediment_exchange","diffusion","GOTM-WET","kNDifNH4","0.000112","m2/d","","molecular NH4 diffusion constant at 20*C"
"sediment","water_sediment_exchange","diffusion","GOTM-WET","kNDifDOM","8.50E-05","m2/d","","DOM diffusion constant N at 20*C"
"sediment","water_sediment_exchange","diffusion","GOTM-WET","kNDifNO3","8.60E-05","m2/d","","NO3 diffusion constant at 20*C"
"sediment","water_sediment_exchange","diffusion","GOTM-WET","kNDifNO3","8.60E-05","m2/d","","NO3 diffusion constant at 20*C"
"sediment","water_sediment_exchange","sediment_flux_ammonium","GLM-AED2","theta_sed_amm","1.08","?","","Arrhenius temperature multiplier for ammonium sediment flux"
"sediment","water_sediment_exchange","sediment_flux_ammonium","GLM-AED2","theta_sed_amm","1.08","?","","Arrhenius temperature multiplier for ammonium sediment flux"
"sediment","water_sediment_exchange","sediment_flux_ammonium","GLM-AED2","Fsed_amm","30","?","","Sediment-water flux for ammonium"
"sediment","water_sediment_exchange","sediment_flux_ammonium","GLM-AED2","Fsed_amm","30","?","","Sediment-water flux for ammonium"
"sediment","water_sediment_exchange","sediment_flux_ammonium","GLM-AED2","Ksed_amm","31.25","?","","saturation concentration in ammonium sediment flux equation"
"sediment","water_sediment_exchange","sediment_flux_ammonium","GLM-AED2","Ksed_amm","31.25","?","","saturation concentration in ammonium sediment flux equation"
"sediment","water_sediment_exchange","sediment_flux_n2o","GLM-AED2","Fsed_n2o","0","?","","Sediment-water flux for n2o"
"sediment","water_sediment_exchange","sediment_flux_n2o","GLM-AED2","Fsed_n2o","0","?","","Sediment-water flux for n2o"
"sediment","water_sediment_exchange","sediment_flux_n2o","GLM-AED2","Ksed_n2o","100","?","","saturation concentration in n2o sediment equation"
"sediment","water_sediment_exchange","sediment_flux_n2o","GLM-AED2","Ksed_n2o","100","?","","saturation concentration in n2o sediment equation"
"sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","theta_sed_nit","1.08","?","","Arrhenius temperature multiplier for nitrate sediment flux"
"sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","theta_sed_nit","1.08","?","","Arrhenius temperature multiplier for nitrate sediment flux"
"sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","Fsed_nit","5.2","?","","Sediment-water flux for nitrate"
"sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","Fsed_nit","5.2","?","","Sediment-water flux for nitrate"
"sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","Ksed_nit","100","?","","saturation concentration in nitrate sediment flux equation"
"sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","Ksed_nit","100","?","","saturation concentration in nitrate sediment flux equation"
"water","ammonium_oxidation","ammonium_oxidation","GLM-AED2","Kpart_ammox","1","?","","saturation concentration in ammonium oxidation equation"
"water","ammonium_oxidation","ammonium_oxidation","GLM-AED2","Kpart_ammox","1","?","","saturation concentration in ammonium oxidation equation"
"water","anammox","anammox","GLM-AED2","Ranammox","0.001","?","","anaerobic ammonium oxidation rate"
"water","anammox","anammox","GLM-AED2","Ranammox","0.001","?","","anaerobic ammonium oxidation rate"
"water","anammox","anammox","GLM-AED2","Kin_deamm","1","?","","saturation concentration in deammonification equation"
"water","anammox","anammox","GLM-AED2","Kin_deamm","1","?","","saturation concentration in deammonification equation"
"water","anammox","anammox","GLM-AED2","Kanmx_amm","2","?","","saturation concentration in anammox equation for ammonium"
"water","anammox","anammox","GLM-AED2","Kanmx_amm","2","?","","saturation concentration in anammox equation for ammonium"
"water","anammox","anammox","GLM-AED2","Kanmx_nit","2","?","","saturation concentration in anammox equation for nitrate"
"water","anammox","anammox","GLM-AED2","Kanmx_nit","2","?","","saturation concentration in anammox equation for nitrate"
"water","decomposition","mineralisation_dom","GOTM-WET","kNMinDOMW","0.01","1/d","","mineralization constant of DOM-N at 20*C"
"water","decomposition","mineralisation_pom","GOTM-WET","kNMinPOMW","0.01","1/d","","decomposition constant of POM-N at 20*C"
"water","denitrification","denitrification","GOTM-Selmaprotbas","ade_r0","0.1","d-1","","maximum chemoautolithotrophic denitrification rate"
"water","denitrification","denitrification","GLM-AED2","Rdenit","0.5","d-1","","maximum reaction rate of denitrification @ 20C"
"water","denitrification","denitrification","GLM-AED2","Rdenit","0.5","d-1","","maximum reaction rate of denitrification @ 20C"
"water","denitrification","denitrification","GOTM-Selmaprotbas","alphaade","1","mmol N m-3","","half-saturation constant for chemoautolithotrophic denitrification"
"water","denitrification","denitrification","GLM-AED2","theta_denit","1.08","-","","Arrhenius temperature multiplier for denitrification"
"water","denitrification","denitrification","GLM-AED2","theta_denit","1.08","-","","Arrhenius temperature multiplier for denitrification"
"water","denitrification","denitrification","GLM-AED2","Kdenit","3","?","","saturation concentration in denitrification equation"
"water","denitrification","denitrification","GLM-AED2","Kdenit","3","?","","saturation concentration in denitrification equation"
"water","denitrification","denitrification","GOTM-WET","hNO3DenitW","1","mgN/l","","quadratic half saturation NO3 conc. for denitrification"
"water","denitrification","denitrification","GOTM-WET","NO3PerCW","1","mol/mol","","denitrified NO3 per C mineralised"
